"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS LP Baseline 1","49","MCTS HP MORTFT 2","43","MCTS LP Baseline 1"
"MCTS LP Baseline 1","57","MCTS HP MORTFT 2","34","MCTS LP Baseline 1"
"MCTS LP Baseline 1","47","MCTS HP MORTFT 2","31","MCTS LP Baseline 1"
"MCTS LP Baseline 1","49","MCTS HP MORTFT 2","39","MCTS LP Baseline 1"
"MCTS LP Baseline 1","52","MCTS HP MORTFT 2","19","MCTS LP Baseline 1"
"MCTS LP Baseline 1","54","MCTS HP MORTFT 2","45","MCTS LP Baseline 1"
"MCTS LP Baseline 1","65","MCTS HP MORTFT 2","26","MCTS LP Baseline 1"
"MCTS LP Baseline 1","42","MCTS HP MORTFT 2","41","MCTS LP Baseline 1"
"MCTS LP Baseline 1","64","MCTS HP MORTFT 2","34","MCTS LP Baseline 1"
"MCTS LP Baseline 1","55","MCTS HP MORTFT 2","40","MCTS LP Baseline 1"
"MCTS LP Baseline 1","62","MCTS HP MORTFT 2","23","MCTS LP Baseline 1"
"MCTS LP Baseline 1","53","MCTS HP MORTFT 2","43","MCTS LP Baseline 1"
"MCTS LP Baseline 1","50","MCTS HP MORTFT 2","34","MCTS LP Baseline 1"
"MCTS LP Baseline 1","50","MCTS HP MORTFT 2","27","MCTS LP Baseline 1"
"MCTS LP Baseline 1","47","MCTS HP MORTFT 2","22","MCTS LP Baseline 1"
"MCTS LP Baseline 1","42","MCTS HP MORTFT 2","38","MCTS LP Baseline 1"
"MCTS LP Baseline 1","48","MCTS HP MORTFT 2","33","MCTS LP Baseline 1"
"MCTS LP Baseline 1","54","MCTS HP MORTFT 2","32","MCTS LP Baseline 1"
"MCTS LP Baseline 1","41","MCTS HP MORTFT 2","35","MCTS LP Baseline 1"
"MCTS LP Baseline 1","53","MCTS HP MORTFT 2","33","MCTS LP Baseline 1"
"MCTS LP Baseline 1","52","MCTS HP MORTFT 2","30","MCTS LP Baseline 1"
"MCTS LP Baseline 1","36","MCTS HP MORTFT 2","29","MCTS LP Baseline 1"
"MCTS LP Baseline 1","52","MCTS HP MORTFT 2","37","MCTS LP Baseline 1"
"MCTS LP Baseline 1","60","MCTS HP MORTFT 2","32","MCTS LP Baseline 1"
"MCTS LP Baseline 1","55","MCTS HP MORTFT 2","41","MCTS LP Baseline 1"
"MCTS LP Baseline 1","55","MCTS HP MORTFT 2","32","MCTS LP Baseline 1"
"MCTS LP Baseline 1","54","MCTS HP MORTFT 2","31","MCTS LP Baseline 1"
"MCTS LP Baseline 1","45","MCTS HP MORTFT 2","38","MCTS LP Baseline 1"
"MCTS LP Baseline 1","56","MCTS HP MORTFT 2","42","MCTS LP Baseline 1"
"MCTS LP Baseline 1","47","MCTS HP MORTFT 2","32","MCTS LP Baseline 1"
"MCTS LP Baseline 1","46","MCTS HP MORTFT 2","34","MCTS LP Baseline 1"
"MCTS LP Baseline 1","56","MCTS HP MORTFT 2","25","MCTS LP Baseline 1"
"MCTS LP Baseline 1","62","MCTS HP MORTFT 2","36","MCTS LP Baseline 1"
"MCTS LP Baseline 1","52","MCTS HP MORTFT 2","33","MCTS LP Baseline 1"
