"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS LP Baseline (C = 1.4142135623730951)","58","MCTS LP (C = 1.6)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 1.6)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 1.6)","34","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 1.6)","37","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP (C = 1.6)","33","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 1.6)","45","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","38","MCTS LP (C = 1.6)","54","MCTS LP (C = 1.6)"
"MCTS LP Baseline (C = 1.4142135623730951)","50","MCTS LP (C = 1.6)","40","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","47","MCTS LP (C = 1.6)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","41","MCTS LP (C = 1.6)","58","MCTS LP (C = 1.6)"
"MCTS LP Baseline (C = 1.4142135623730951)","55","MCTS LP (C = 1.6)","41","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","60","MCTS LP (C = 1.6)","35","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","46","MCTS LP (C = 1.6)","48","MCTS LP (C = 1.6)"
"MCTS LP Baseline (C = 1.4142135623730951)","51","MCTS LP (C = 1.6)","42","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","39","MCTS LP (C = 1.6)","57","MCTS LP (C = 1.6)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 1.6)","47","MCTS LP Baseline (C = 1.4142135623730951)"
"MCTS LP Baseline (C = 1.4142135623730951)","49","MCTS LP (C = 1.6)","43","MCTS LP Baseline (C = 1.4142135623730951)"
