"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"Greedy","46","MCTS LP","52","MCTS LP"
"Greedy","39","MCTS LP","49","MCTS LP"
"Greedy","40","MCTS LP","49","MCTS LP"
"Greedy","59","MCTS LP","39","Greedy"
"Greedy","47","MCTS LP","42","Greedy"
"Greedy","55","MCTS LP","32","Greedy"
"Greedy","51","MCTS LP","45","Greedy"
"Greedy","47","MCTS LP","50","MCTS LP"
"Greedy","48","MCTS LP","43","Greedy"
"Greedy","42","MCTS LP","45","MCTS LP"
"Greedy","47","MCTS LP","48","MCTS LP"
"Greedy","50","MCTS LP","39","Greedy"
"Greedy","46","MCTS LP","48","MCTS LP"
"Greedy","40","MCTS LP","47","MCTS LP"
"Greedy","40","MCTS LP","47","MCTS LP"
"Greedy","50","MCTS LP","40","Greedy"
"Greedy","52","MCTS LP","39","Greedy"
"Greedy","55","MCTS LP","38","Greedy"
"Greedy","33","MCTS LP","54","MCTS LP"
"Greedy","38","MCTS LP","46","MCTS LP"
"Greedy","53","MCTS LP","32","Greedy"
"Greedy","42","MCTS LP","50","MCTS LP"
"Greedy","45","MCTS LP","52","MCTS LP"
"Greedy","52","MCTS LP","36","Greedy"
"Greedy","52","MCTS LP","46","Greedy"
"Greedy","49","MCTS LP","50","MCTS LP"
"Greedy","42","MCTS LP","54","MCTS LP"
"Greedy","48","MCTS LP","40","Greedy"
"Greedy","43","MCTS LP","51","MCTS LP"
"Greedy","46","MCTS LP","49","MCTS LP"
"Greedy","57","MCTS LP","33","Greedy"
"Greedy","39","MCTS LP","41","MCTS LP"
"Greedy","47","MCTS LP","50","MCTS LP"
"Greedy","42","MCTS LP","52","MCTS LP"
"Greedy","40","MCTS LP","53","MCTS LP"
"Greedy","44","MCTS LP","49","MCTS LP"
"Greedy","44","MCTS LP","51","MCTS LP"
"Greedy","56","MCTS LP","34","Greedy"
"Greedy","42","MCTS LP","49","MCTS LP"
"Greedy","39","MCTS LP","52","MCTS LP"
"Greedy","48","MCTS LP","31","Greedy"
"Greedy","50","MCTS LP","27","Greedy"
"Greedy","38","MCTS LP","46","MCTS LP"
"Greedy","41","MCTS LP","55","MCTS LP"
"Greedy","42","MCTS LP","54","MCTS LP"
"Greedy","45","MCTS LP","55","MCTS LP"
"Greedy","39","MCTS LP","55","MCTS LP"
"Greedy","42","MCTS LP","54","MCTS LP"
"Greedy","43","MCTS LP","51","MCTS LP"
"Greedy","44","MCTS LP","54","MCTS LP"
"Greedy","41","MCTS LP","54","MCTS LP"
"Greedy","50","MCTS LP","43","Greedy"
"Greedy","37","MCTS LP","48","MCTS LP"
"Greedy","44","MCTS LP","48","MCTS LP"
"Greedy","45","MCTS LP","51","MCTS LP"
"Greedy","33","MCTS LP","59","MCTS LP"
"Greedy","44","MCTS LP","55","MCTS LP"
"Greedy","52","MCTS LP","37","Greedy"
"Greedy","39","MCTS LP","49","MCTS LP"
"Greedy","45","MCTS LP","53","MCTS LP"
"Greedy","43","MCTS LP","46","MCTS LP"
"Greedy","30","MCTS LP","49","MCTS LP"
"Greedy","44","MCTS LP","53","MCTS LP"
"Greedy","42","MCTS LP","57","MCTS LP"
"Greedy","31","MCTS LP","63","MCTS LP"
"Greedy","40","MCTS LP","45","MCTS LP"
"Greedy","45","MCTS LP","51","MCTS LP"
"Greedy","44","MCTS LP","51","MCTS LP"
"Greedy","43","MCTS LP","51","MCTS LP"
"Greedy","37","MCTS LP","47","MCTS LP"
"Greedy","43","MCTS LP","47","MCTS LP"
"Greedy","36","MCTS LP","50","MCTS LP"
"Greedy","48","MCTS LP","44","Greedy"
"Greedy","55","MCTS LP","34","Greedy"
"Greedy","50","MCTS LP","46","Greedy"
"Greedy","53","MCTS LP","41","Greedy"
"Greedy","44","MCTS LP","47","MCTS LP"
"Greedy","40","MCTS LP","53","MCTS LP"
"Greedy","48","MCTS LP","50","MCTS LP"
"Greedy","41","MCTS LP","50","MCTS LP"
"Greedy","45","MCTS LP","47","MCTS LP"
"Greedy","39","MCTS LP","54","MCTS LP"
"Greedy","43","MCTS LP","51","MCTS LP"
"Greedy","53","MCTS LP","39","Greedy"
"Greedy","42","MCTS LP","52","MCTS LP"
"Greedy","54","MCTS LP","31","Greedy"
"Greedy","42","MCTS LP","45","MCTS LP"
"Greedy","49","MCTS LP","43","Greedy"
"Greedy","41","MCTS LP","54","MCTS LP"
"Greedy","54","MCTS LP","43","Greedy"
"Greedy","39","MCTS LP","42","MCTS LP"
"Greedy","48","MCTS LP","41","Greedy"
"Greedy","50","MCTS LP","42","Greedy"
"Greedy","42","MCTS LP","51","MCTS LP"
"Greedy","52","MCTS LP","37","Greedy"
"Greedy","45","MCTS LP","50","MCTS LP"
"Greedy","40","MCTS LP","47","MCTS LP"
"Greedy","45","MCTS LP","49","MCTS LP"
"Greedy","42","MCTS LP","53","MCTS LP"
"Greedy","42","MCTS LP","46","MCTS LP"
"Greedy","43","MCTS LP","45","MCTS LP"
"Greedy","63","MCTS LP","34","Greedy"
"Greedy","44","MCTS LP","46","MCTS LP"
"Greedy","39","MCTS LP","58","MCTS LP"
"Greedy","42","MCTS LP","47","MCTS LP"
"Greedy","55","MCTS LP","37","Greedy"
"Greedy","38","MCTS LP","59","MCTS LP"
"Greedy","37","MCTS LP","44","MCTS LP"
"Greedy","35","MCTS LP","59","MCTS LP"
"Greedy","44","MCTS LP","49","MCTS LP"
"Greedy","39","MCTS LP","42","MCTS LP"
"Greedy","59","MCTS LP","36","Greedy"
"Greedy","44","MCTS LP","47","MCTS LP"
"Greedy","44","MCTS LP","50","MCTS LP"
"Greedy","40","MCTS LP","55","MCTS LP"
"Greedy","48","MCTS LP","49","MCTS LP"
"Greedy","41","MCTS LP","55","MCTS LP"
"Greedy","58","MCTS LP","33","Greedy"
"Greedy","42","MCTS LP","48","MCTS LP"
"Greedy","46","MCTS LP","52","MCTS LP"
"Greedy","38","MCTS LP","48","MCTS LP"
"Greedy","60","MCTS LP","35","Greedy"
"Greedy","35","MCTS LP","49","MCTS LP"
"Greedy","45","MCTS LP","51","MCTS LP"
"Greedy","34","MCTS LP","61","MCTS LP"
"Greedy","47","MCTS LP","50","MCTS LP"
"Greedy","43","MCTS LP","52","MCTS LP"
"Greedy","36","MCTS LP","48","MCTS LP"
"Greedy","42","MCTS LP","44","MCTS LP"
"Greedy","58","MCTS LP","39","Greedy"
