"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS LP","48","Random","37","MCTS LP"
"MCTS LP","49","Random","37","MCTS LP"
"MCTS LP","48","Random","40","MCTS LP"
"MCTS LP","49","Random","42","MCTS LP"
"MCTS LP","53","Random","42","MCTS LP"
"MCTS LP","54","Random","36","MCTS LP"
"MCTS LP","45","Random","36","MCTS LP"
"MCTS LP","56","Random","41","MCTS LP"
"MCTS LP","51","Random","39","MCTS LP"
"MCTS LP","55","Random","35","MCTS LP"
"MCTS LP","49","Random","35","MCTS LP"
"MCTS LP","58","Random","42","MCTS LP"
"MCTS LP","38","Random","31","MCTS LP"
"MCTS LP","51","Random","20","MCTS LP"
"MCTS LP","49","Random","42","MCTS LP"
"MCTS LP","52","Random","40","MCTS LP"
"MCTS LP","41","Random","38","MCTS LP"
"MCTS LP","49","Random","36","MCTS LP"
"MCTS LP","53","Random","41","MCTS LP"
"MCTS LP","47","Random","37","MCTS LP"
"MCTS LP","51","Random","41","MCTS LP"
"MCTS LP","51","Random","37","MCTS LP"
"MCTS LP","58","Random","40","MCTS LP"
"MCTS LP","54","Random","39","MCTS LP"
"MCTS LP","49","Random","30","MCTS LP"
"MCTS LP","48","Random","40","MCTS LP"
"MCTS LP","44","Random","30","MCTS LP"
"MCTS LP","55","Random","40","MCTS LP"
"MCTS LP","54","Random","34","MCTS LP"
"MCTS LP","52","Random","38","MCTS LP"
"MCTS LP","66","Random","30","MCTS LP"
"MCTS LP","61","Random","32","MCTS LP"
"MCTS LP","56","Random","36","MCTS LP"
"MCTS LP","52","Random","41","MCTS LP"
"MCTS LP","42","Random","38","MCTS LP"
"MCTS LP","60","Random","35","MCTS LP"
"MCTS LP","53","Random","41","MCTS LP"
"MCTS LP","46","Random","40","MCTS LP"
"MCTS LP","48","Random","36","MCTS LP"
"MCTS LP","50","Random","37","MCTS LP"
"MCTS LP","47","Random","36","MCTS LP"
"MCTS LP","54","Random","43","MCTS LP"
"MCTS LP","51","Random","40","MCTS LP"
"MCTS LP","44","Random","36","MCTS LP"
"MCTS LP","63","Random","30","MCTS LP"
"MCTS LP","51","Random","34","MCTS LP"
"MCTS LP","41","Random","38","MCTS LP"
"MCTS LP","45","Random","35","MCTS LP"
"MCTS LP","55","Random","41","MCTS LP"
"MCTS LP","47","Random","41","MCTS LP"
"MCTS LP","61","Random","31","MCTS LP"
"MCTS LP","66","Random","34","MCTS LP"
"MCTS LP","51","Random","37","MCTS LP"
"MCTS LP","44","Random","37","MCTS LP"
"MCTS LP","48","Random","35","MCTS LP"
"MCTS LP","54","Random","38","MCTS LP"
"MCTS LP","55","Random","44","MCTS LP"
"MCTS LP","46","Random","41","MCTS LP"
"MCTS LP","47","Random","41","MCTS LP"
