"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"Random","58","MCTS LP","30","Random"
"Random","45","MCTS LP","35","Random"
"Random","39","MCTS LP","36","Random"
"Random","51","MCTS LP","36","Random"
"Random","51","MCTS LP","40","Random"
"Random","57","MCTS LP","35","Random"
"Random","31","MCTS LP","49","MCTS LP"
"Random","44","MCTS LP","50","MCTS LP"
"Random","59","MCTS LP","37","Random"
"Random","55","MCTS LP","23","Random"
"Random","45","MCTS LP","34","Random"
"Random","59","MCTS LP","35","Random"
"Random","19","MCTS LP","44","MCTS LP"
"Random","59","MCTS LP","27","Random"
"Random","56","MCTS LP","30","Random"
"Random","60","MCTS LP","35","Random"
"Random","42","MCTS LP","53","MCTS LP"
"Random","63","MCTS LP","26","Random"
"Random","48","MCTS LP","32","Random"
"Random","35","MCTS LP","34","Random"
"Random","53","MCTS LP","16","Random"
"Random","51","MCTS LP","45","Random"
"Random","46","MCTS LP","47","MCTS LP"
"Random","53","MCTS LP","46","Random"
"Random","52","MCTS LP","43","Random"
"Random","48","MCTS LP","30","Random"
"Random","47","MCTS LP","38","Random"
"Random","49","MCTS LP","38","Random"
"Random","57","MCTS LP","26","Random"
"Random","42","MCTS LP","43","MCTS LP"
"Random","30","MCTS LP","20","Random"
"Random","43","MCTS LP","51","MCTS LP"
"Random","48","MCTS LP","47","Random"
"Random","48","MCTS LP","35","Random"
"Random","52","MCTS LP","40","Random"
"Random","53","MCTS LP","41","Random"
"Random","63","MCTS LP","30","Random"
"Random","71","MCTS LP","22","Random"
"Random","50","MCTS LP","41","Random"
"Random","48","MCTS LP","42","Random"
"Random","45","MCTS LP","27","Random"
"Random","51","MCTS LP","43","Random"
"Random","37","MCTS LP","48","MCTS LP"
"Random","50","MCTS LP","39","Random"
"Random","61","MCTS LP","22","Random"
"Random","45","MCTS LP","24","Random"
"Random","47","MCTS LP","22","Random"
"Random","37","MCTS LP","33","Random"
"Random","48","MCTS LP","41","Random"
"Random","51","MCTS LP","31","Random"
"Random","61","MCTS LP","21","Random"
"Random","59","MCTS LP","26","Random"
"Random","61","MCTS LP","15","Random"
"Random","44","MCTS LP","39","Random"
"Random","70","MCTS LP","28","Random"
"Random","63","MCTS LP","18","Random"
"Random","44","MCTS LP","53","MCTS LP"
"Random","56","MCTS LP","28","Random"
"Random","47","MCTS LP","50","MCTS LP"
"Random","45","MCTS LP","46","MCTS LP"
"Random","42","MCTS LP","29","Random"
"Random","54","MCTS LP","36","Random"
"Random","54","MCTS LP","21","Random"
"Random","56","MCTS LP","35","Random"
"Random","57","MCTS LP","37","Random"
"Random","32","MCTS LP","29","Random"
"Random","52","MCTS LP","25","Random"
"Random","57","MCTS LP","37","Random"
"Random","46","MCTS LP","41","Random"
"Random","48","MCTS LP","35","Random"
"Random","53","MCTS LP","39","Random"
"Random","51","MCTS LP","28","Random"
"Random","50","MCTS LP","41","Random"
"Random","52","MCTS LP","47","Random"
"Random","41","MCTS LP","51","MCTS LP"
"Random","63","MCTS LP","14","Random"
"Random","42","MCTS LP","48","MCTS LP"
"Random","44","MCTS LP","22","Random"
"Random","64","MCTS LP","27","Random"
"Random","55","MCTS LP","35","Random"
"Random","69","MCTS LP","25","Random"
"Random","41","MCTS LP","36","Random"
