"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS Max Fish On New Tile Movement","51","Greedy","42","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","77","Greedy","22","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","55","Greedy","36","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","56","Greedy","41","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","51","Greedy","46","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","48","Greedy","43","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","47","Greedy","40","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","47","Greedy","45","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","45","Greedy","41","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","49","Greedy","42","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","36","Greedy","58","Greedy"
"MCTS Max Fish On New Tile Movement","40","Greedy","53","Greedy"
"MCTS Max Fish On New Tile Movement","50","Greedy","40","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","53","Greedy","40","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","48","Greedy","42","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","49","Greedy","42","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","56","Greedy","44","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","49","Greedy","42","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","47","Greedy","46","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","44","Greedy","52","Greedy"
"MCTS Max Fish On New Tile Movement","51","Greedy","39","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","55","Greedy","42","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","53","Greedy","43","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","51","Greedy","38","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","56","Greedy","40","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","54","Greedy","41","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","49","Greedy","38","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","49","Greedy","42","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","47","Greedy","41","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","43","Greedy","40","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","52","Greedy","42","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","54","Greedy","40","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","43","Greedy","42","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","51","Greedy","44","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","53","Greedy","39","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","44","Greedy","35","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","59","Greedy","40","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","64","Greedy","30","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","48","Greedy","44","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","41","Greedy","50","Greedy"
"MCTS Max Fish On New Tile Movement","39","Greedy","36","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","52","Greedy","43","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","53","Greedy","43","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","52","Greedy","40","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","56","Greedy","35","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","62","Greedy","36","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","45","Greedy","41","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","56","Greedy","41","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","48","Greedy","45","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","50","Greedy","40","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","50","Greedy","43","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","42","Greedy","35","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","56","Greedy","42","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","48","Greedy","47","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","52","Greedy","46","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","49","Greedy","41","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","46","Greedy","42","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","50","Greedy","47","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","59","Greedy","36","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","52","Greedy","44","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","53","Greedy","43","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","54","Greedy","44","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","52","Greedy","38","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","58","Greedy","33","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","52","Greedy","44","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","52","Greedy","42","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","48","Greedy","38","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","52","Greedy","43","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","51","Greedy","42","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","49","Greedy","43","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","49","Greedy","46","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","52","Greedy","44","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","50","Greedy","44","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","48","Greedy","42","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","45","Greedy","33","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","46","Greedy","40","MCTS Max Fish On New Tile Movement"
"MCTS Max Fish On New Tile Movement","53","Greedy","39","MCTS Max Fish On New Tile Movement"
