"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS Max New Fish For Penguin Movement","55","Greedy","41","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","49","Greedy","45","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","57","Greedy","39","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","50","Greedy","44","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","52","Greedy","45","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","49","Greedy","44","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","51","Greedy","40","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","38","Greedy","55","Greedy"
"MCTS Max New Fish For Penguin Movement","52","Greedy","46","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","50","Greedy","45","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","46","Greedy","44","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","45","Greedy","44","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","55","Greedy","37","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","55","Greedy","38","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","51","Greedy","44","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","46","Greedy","44","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","49","Greedy","39","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","49","Greedy","39","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","39","Greedy","36","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","47","Greedy","44","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","35","Greedy","59","Greedy"
"MCTS Max New Fish For Penguin Movement","47","Greedy","44","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","45","Greedy","42","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","66","Greedy","31","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","51","Greedy","45","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","44","Greedy","48","Greedy"
"MCTS Max New Fish For Penguin Movement","42","Greedy","51","Greedy"
"MCTS Max New Fish For Penguin Movement","48","Greedy","34","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","46","Greedy","43","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","57","Greedy","35","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","50","Greedy","39","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","56","Greedy","42","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","50","Greedy","45","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","47","Greedy","46","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","56","Greedy","41","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","50","Greedy","43","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","50","Greedy","46","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","55","Greedy","41","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","34","Greedy","53","Greedy"
"MCTS Max New Fish For Penguin Movement","45","Greedy","38","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","53","Greedy","43","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","50","Greedy","44","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","48","Greedy","38","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","49","Greedy","43","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","44","Greedy","52","Greedy"
"MCTS Max New Fish For Penguin Movement","47","Greedy","42","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","50","Greedy","42","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","51","Greedy","43","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","52","Greedy","42","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","51","Greedy","43","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","52","Greedy","40","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","46","Greedy","48","Greedy"
"MCTS Max New Fish For Penguin Movement","53","Greedy","44","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","51","Greedy","44","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","56","Greedy","34","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","57","Greedy","41","MCTS Max New Fish For Penguin Movement"
"MCTS Max New Fish For Penguin Movement","57","Greedy","36","MCTS Max New Fish For Penguin Movement"
