"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS Max Fish Per Tile For Penguin Movement","47","Greedy","44","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","50","Greedy","42","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","50","Greedy","47","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","45","Greedy","43","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","39","Greedy","55","Greedy"
"MCTS Max Fish Per Tile For Penguin Movement","58","Greedy","39","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","45","Greedy","43","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","46","Greedy","54","Greedy"
"MCTS Max Fish Per Tile For Penguin Movement","54","Greedy","38","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","49","Greedy","43","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","54","Greedy","40","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","51","Greedy","44","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","47","Greedy","39","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","44","Greedy","49","Greedy"
"MCTS Max Fish Per Tile For Penguin Movement","47","Greedy","43","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","31","Greedy","56","Greedy"
"MCTS Max Fish Per Tile For Penguin Movement","50","Greedy","41","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","42","Greedy","53","Greedy"
"MCTS Max Fish Per Tile For Penguin Movement","38","Greedy","51","Greedy"
"MCTS Max Fish Per Tile For Penguin Movement","47","Greedy","44","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","31","Greedy","48","Greedy"
"MCTS Max Fish Per Tile For Penguin Movement","50","Greedy","40","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","52","Greedy","38","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","48","Greedy","45","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","50","Greedy","48","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","53","Greedy","45","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","53","Greedy","44","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","49","Greedy","43","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","49","Greedy","43","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","49","Greedy","40","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","48","Greedy","48","Tie"
"MCTS Max Fish Per Tile For Penguin Movement","46","Greedy","45","MCTS Max Fish Per Tile For Penguin Movement"
"MCTS Max Fish Per Tile For Penguin Movement","46","Greedy","49","Greedy"
