"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS Max New Fish For All Penguins Movement","34","MCTS LP Baseline (2)","45","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","36","MCTS LP Baseline (2)","57","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","41","MCTS LP Baseline (2)","44","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","40","MCTS LP Baseline (2)","42","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","33","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","38","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","30","MCTS LP Baseline (2)","58","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","38","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","42","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","36","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","38","MCTS LP Baseline (2)","57","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","44","MCTS LP Baseline (2)","42","MCTS Max New Fish For All Penguins Movement"
"MCTS Max New Fish For All Penguins Movement","49","MCTS LP Baseline (2)","49","Tie"
"MCTS Max New Fish For All Penguins Movement","31","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","42","MCTS LP Baseline (2)","41","MCTS Max New Fish For All Penguins Movement"
"MCTS Max New Fish For All Penguins Movement","28","MCTS LP Baseline (2)","59","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","46","MCTS LP Baseline (2)","38","MCTS Max New Fish For All Penguins Movement"
"MCTS Max New Fish For All Penguins Movement","29","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","34","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","36","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","40","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","40","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","33","MCTS LP Baseline (2)","58","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","35","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","40","MCTS LP Baseline (2)","46","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","41","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","44","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","36","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","22","MCTS LP Baseline (2)","73","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","31","MCTS LP Baseline (2)","61","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","50","MCTS LP Baseline (2)","46","MCTS Max New Fish For All Penguins Movement"
"MCTS Max New Fish For All Penguins Movement","36","MCTS LP Baseline (2)","57","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","38","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","30","MCTS LP Baseline (2)","63","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","42","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max New Fish For All Penguins Movement","34","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
