"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS Max New Fish Per Tile For All Penguins Movement","48","Greedy","45","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","54","Greedy","43","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","49","Greedy","42","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","33","Greedy","55","Greedy"
"MCTS Max New Fish Per Tile For All Penguins Movement","46","Greedy","42","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","48","Greedy","48","Tie"
"MCTS Max New Fish Per Tile For All Penguins Movement","50","Greedy","48","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","52","Greedy","45","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","46","Greedy","46","Tie"
"MCTS Max New Fish Per Tile For All Penguins Movement","49","Greedy","43","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","54","Greedy","36","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","48","Greedy","45","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","49","Greedy","44","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","32","Greedy","52","Greedy"
"MCTS Max New Fish Per Tile For All Penguins Movement","34","Greedy","53","Greedy"
"MCTS Max New Fish Per Tile For All Penguins Movement","26","Greedy","65","Greedy"
"MCTS Max New Fish Per Tile For All Penguins Movement","40","Greedy","35","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","53","Greedy","45","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","34","Greedy","57","Greedy"
"MCTS Max New Fish Per Tile For All Penguins Movement","37","Greedy","53","Greedy"
"MCTS Max New Fish Per Tile For All Penguins Movement","50","Greedy","43","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","45","Greedy","52","Greedy"
"MCTS Max New Fish Per Tile For All Penguins Movement","41","Greedy","54","Greedy"
"MCTS Max New Fish Per Tile For All Penguins Movement","37","Greedy","56","Greedy"
"MCTS Max New Fish Per Tile For All Penguins Movement","52","Greedy","46","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","45","Greedy","39","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","48","Greedy","50","Greedy"
"MCTS Max New Fish Per Tile For All Penguins Movement","50","Greedy","47","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","49","Greedy","46","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","47","Greedy","46","MCTS Max New Fish Per Tile For All Penguins Movement"
"MCTS Max New Fish Per Tile For All Penguins Movement","40","Greedy","52","Greedy"
"MCTS Max New Fish Per Tile For All Penguins Movement","50","Greedy","50","Tie"
"MCTS Max New Fish Per Tile For All Penguins Movement","44","Greedy","43","MCTS Max New Fish Per Tile For All Penguins Movement"
