"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS LP Baseline 1","56","MCTS HP MORFC 2","42","MCTS LP Baseline 1"
"MCTS LP Baseline 1","48","MCTS HP MORFC 2","32","MCTS LP Baseline 1"
"MCTS LP Baseline 1","47","MCTS HP MORFC 2","46","MCTS LP Baseline 1"
"MCTS LP Baseline 1","53","MCTS HP MORFC 2","42","MCTS LP Baseline 1"
"MCTS LP Baseline 1","56","MCTS HP MORFC 2","34","MCTS LP Baseline 1"
"MCTS LP Baseline 1","49","MCTS HP MORFC 2","41","MCTS LP Baseline 1"
"MCTS LP Baseline 1","55","MCTS HP MORFC 2","43","MCTS LP Baseline 1"
"MCTS LP Baseline 1","52","MCTS HP MORFC 2","43","MCTS LP Baseline 1"
"MCTS LP Baseline 1","50","MCTS HP MORFC 2","41","MCTS LP Baseline 1"
"MCTS LP Baseline 1","69","MCTS HP MORFC 2","27","MCTS LP Baseline 1"
"MCTS LP Baseline 1","55","MCTS HP MORFC 2","35","MCTS LP Baseline 1"
"MCTS LP Baseline 1","53","MCTS HP MORFC 2","35","MCTS LP Baseline 1"
"MCTS LP Baseline 1","39","MCTS HP MORFC 2","37","MCTS LP Baseline 1"
"MCTS LP Baseline 1","45","MCTS HP MORFC 2","38","MCTS LP Baseline 1"
"MCTS LP Baseline 1","60","MCTS HP MORFC 2","36","MCTS LP Baseline 1"
"MCTS LP Baseline 1","56","MCTS HP MORFC 2","39","MCTS LP Baseline 1"
"MCTS LP Baseline 1","46","MCTS HP MORFC 2","29","MCTS LP Baseline 1"
"MCTS LP Baseline 1","77","MCTS HP MORFC 2","23","MCTS LP Baseline 1"
"MCTS LP Baseline 1","54","MCTS HP MORFC 2","39","MCTS LP Baseline 1"
"MCTS LP Baseline 1","54","MCTS HP MORFC 2","43","MCTS LP Baseline 1"
"MCTS LP Baseline 1","55","MCTS HP MORFC 2","36","MCTS LP Baseline 1"
"MCTS LP Baseline 1","50","MCTS HP MORFC 2","42","MCTS LP Baseline 1"
"MCTS LP Baseline 1","53","MCTS HP MORFC 2","38","MCTS LP Baseline 1"
"MCTS LP Baseline 1","50","MCTS HP MORFC 2","41","MCTS LP Baseline 1"
"MCTS LP Baseline 1","53","MCTS HP MORFC 2","40","MCTS LP Baseline 1"
"MCTS LP Baseline 1","46","MCTS HP MORFC 2","33","MCTS LP Baseline 1"
"MCTS LP Baseline 1","36","MCTS HP MORFC 2","51","MCTS HP MORFC 2"
"MCTS LP Baseline 1","51","MCTS HP MORFC 2","36","MCTS LP Baseline 1"
"MCTS LP Baseline 1","53","MCTS HP MORFC 2","32","MCTS LP Baseline 1"
"MCTS LP Baseline 1","50","MCTS HP MORFC 2","40","MCTS LP Baseline 1"
"MCTS LP Baseline 1","55","MCTS HP MORFC 2","39","MCTS LP Baseline 1"
"MCTS LP Baseline 1","45","MCTS HP MORFC 2","43","MCTS LP Baseline 1"
"MCTS LP Baseline 1","50","MCTS HP MORFC 2","39","MCTS LP Baseline 1"
"MCTS LP Baseline 1","54","MCTS HP MORFC 2","36","MCTS LP Baseline 1"
"MCTS LP Baseline 1","63","MCTS HP MORFC 2","32","MCTS LP Baseline 1"
"MCTS LP Baseline 1","53","MCTS HP MORFC 2","36","MCTS LP Baseline 1"
"MCTS LP Baseline 1","55","MCTS HP MORFC 2","32","MCTS LP Baseline 1"
"MCTS LP Baseline 1","53","MCTS HP MORFC 2","41","MCTS LP Baseline 1"
"MCTS LP Baseline 1","48","MCTS HP MORFC 2","45","MCTS LP Baseline 1"
"MCTS LP Baseline 1","64","MCTS HP MORFC 2","36","MCTS LP Baseline 1"
"MCTS LP Baseline 1","64","MCTS HP MORFC 2","28","MCTS LP Baseline 1"
