"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS Max Fish For Penguin Placement","52","Greedy","39","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","51","Greedy","40","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","51","Greedy","46","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","51","Greedy","33","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","53","Greedy","42","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","65","Greedy","33","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","53","Greedy","39","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","51","Greedy","40","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","58","Greedy","40","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","46","Greedy","48","Greedy"
"MCTS Max Fish For Penguin Placement","43","Greedy","40","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","59","Greedy","38","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","51","Greedy","46","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","55","Greedy","38","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","54","Greedy","34","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","62","Greedy","31","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","54","Greedy","43","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","62","Greedy","36","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","46","Greedy","37","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","53","Greedy","37","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","55","Greedy","39","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","47","Greedy","41","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","51","Greedy","38","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","60","Greedy","31","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","49","Greedy","40","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","45","Greedy","43","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","56","Greedy","39","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","45","Greedy","18","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","50","Greedy","36","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","47","Greedy","47","Tie"
"MCTS Max Fish For Penguin Placement","55","Greedy","43","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","60","Greedy","38","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","54","Greedy","36","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","55","Greedy","32","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","57","Greedy","42","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","52","Greedy","39","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","50","Greedy","35","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","57","Greedy","39","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","54","Greedy","42","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","60","Greedy","35","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","57","Greedy","37","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","58","Greedy","40","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","53","Greedy","38","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","44","Greedy","41","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","47","Greedy","40","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","53","Greedy","46","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","47","Greedy","36","MCTS Max Fish For Penguin Placement"
"MCTS Max Fish For Penguin Placement","53","Greedy","39","MCTS Max Fish For Penguin Placement"
