"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS Max Tiles For All Penguins Placement","53","Greedy","39","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","59","Greedy","41","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","53","Greedy","41","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","49","Greedy","42","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","54","Greedy","40","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","61","Greedy","34","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","49","Greedy","45","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","60","Greedy","34","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","55","Greedy","36","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","48","Greedy","42","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","63","Greedy","34","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","46","Greedy","38","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","59","Greedy","34","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","73","Greedy","27","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","62","Greedy","31","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","49","Greedy","40","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","57","Greedy","43","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","66","Greedy","34","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","50","Greedy","43","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","56","Greedy","42","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","56","Greedy","35","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","45","Greedy","35","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","55","Greedy","37","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","50","Greedy","41","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","49","Greedy","43","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","55","Greedy","41","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","36","Greedy","53","Greedy"
"MCTS Max Tiles For All Penguins Placement","63","Greedy","36","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","47","Greedy","41","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","51","Greedy","46","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","53","Greedy","45","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","60","Greedy","22","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","44","Greedy","38","MCTS Max Tiles For All Penguins Placement"
"MCTS Max Tiles For All Penguins Placement","51","Greedy","46","MCTS Max Tiles For All Penguins Placement"
