"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS Min Tiles For Opponent Penguins Placement","50","Greedy","45","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","47","Greedy","43","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","54","Greedy","39","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","51","Greedy","39","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","43","Greedy","41","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","53","Greedy","42","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","55","Greedy","39","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","50","Greedy","31","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","48","Greedy","30","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","53","Greedy","41","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","55","Greedy","37","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","52","Greedy","44","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","58","Greedy","36","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","45","Greedy","39","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","58","Greedy","35","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","53","Greedy","43","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","60","Greedy","40","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","49","Greedy","42","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","57","Greedy","41","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","48","Greedy","40","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","51","Greedy","38","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","47","Greedy","45","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","50","Greedy","38","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","49","Greedy","36","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","41","Greedy","49","Greedy"
"MCTS Min Tiles For Opponent Penguins Placement","44","Greedy","37","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","54","Greedy","29","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","50","Greedy","33","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","54","Greedy","42","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","54","Greedy","42","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","52","Greedy","37","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","75","Greedy","24","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","54","Greedy","40","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","60","Greedy","35","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","50","Greedy","37","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","53","Greedy","30","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","59","Greedy","36","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","43","Greedy","42","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","57","Greedy","40","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","40","Greedy","37","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","51","Greedy","42","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","54","Greedy","43","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","55","Greedy","41","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","43","Greedy","35","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","44","Greedy","39","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","48","Greedy","44","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","45","Greedy","38","MCTS Min Tiles For Opponent Penguins Placement"
"MCTS Min Tiles For Opponent Penguins Placement","53","Greedy","44","MCTS Min Tiles For Opponent Penguins Placement"
