"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"Greedy Baseline 1","37","MCTS HP METFC 2","60","MCTS HP METFC 2"
"Greedy Baseline 1","45","MCTS HP METFC 2","47","MCTS HP METFC 2"
"Greedy Baseline 1","32","MCTS HP METFC 2","56","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","45","MCTS HP METFC 2"
"Greedy Baseline 1","40","MCTS HP METFC 2","45","MCTS HP METFC 2"
"Greedy Baseline 1","38","MCTS HP METFC 2","51","MCTS HP METFC 2"
"Greedy Baseline 1","38","MCTS HP METFC 2","49","MCTS HP METFC 2"
"Greedy Baseline 1","43","MCTS HP METFC 2","49","MCTS HP METFC 2"
"Greedy Baseline 1","44","MCTS HP METFC 2","54","MCTS HP METFC 2"
"Greedy Baseline 1","40","MCTS HP METFC 2","54","MCTS HP METFC 2"
"Greedy Baseline 1","42","MCTS HP METFC 2","55","MCTS HP METFC 2"
"Greedy Baseline 1","42","MCTS HP METFC 2","51","MCTS HP METFC 2"
"Greedy Baseline 1","38","MCTS HP METFC 2","57","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","55","MCTS HP METFC 2"
"Greedy Baseline 1","40","MCTS HP METFC 2","53","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","56","MCTS HP METFC 2"
"Greedy Baseline 1","43","MCTS HP METFC 2","52","MCTS HP METFC 2"
"Greedy Baseline 1","37","MCTS HP METFC 2","47","MCTS HP METFC 2"
"Greedy Baseline 1","38","MCTS HP METFC 2","54","MCTS HP METFC 2"
"Greedy Baseline 1","38","MCTS HP METFC 2","55","MCTS HP METFC 2"
"Greedy Baseline 1","41","MCTS HP METFC 2","56","MCTS HP METFC 2"
"Greedy Baseline 1","36","MCTS HP METFC 2","52","MCTS HP METFC 2"
"Greedy Baseline 1","40","MCTS HP METFC 2","54","MCTS HP METFC 2"
"Greedy Baseline 1","38","MCTS HP METFC 2","49","MCTS HP METFC 2"
"Greedy Baseline 1","49","MCTS HP METFC 2","49","Tie"
"Greedy Baseline 1","42","MCTS HP METFC 2","58","MCTS HP METFC 2"
"Greedy Baseline 1","46","MCTS HP METFC 2","50","MCTS HP METFC 2"
"Greedy Baseline 1","45","MCTS HP METFC 2","52","MCTS HP METFC 2"
"Greedy Baseline 1","45","MCTS HP METFC 2","52","MCTS HP METFC 2"
"Greedy Baseline 1","57","MCTS HP METFC 2","37","Greedy Baseline 1"
"Greedy Baseline 1","43","MCTS HP METFC 2","52","MCTS HP METFC 2"
"Greedy Baseline 1","43","MCTS HP METFC 2","49","MCTS HP METFC 2"
"Greedy Baseline 1","36","MCTS HP METFC 2","64","MCTS HP METFC 2"
"Greedy Baseline 1","36","MCTS HP METFC 2","54","MCTS HP METFC 2"
"Greedy Baseline 1","41","MCTS HP METFC 2","50","MCTS HP METFC 2"
"Greedy Baseline 1","46","MCTS HP METFC 2","52","MCTS HP METFC 2"
"Greedy Baseline 1","41","MCTS HP METFC 2","58","MCTS HP METFC 2"
"Greedy Baseline 1","45","MCTS HP METFC 2","50","MCTS HP METFC 2"
"Greedy Baseline 1","56","MCTS HP METFC 2","37","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP METFC 2","50","MCTS HP METFC 2"
"Greedy Baseline 1","43","MCTS HP METFC 2","52","MCTS HP METFC 2"
"Greedy Baseline 1","38","MCTS HP METFC 2","50","MCTS HP METFC 2"
"Greedy Baseline 1","33","MCTS HP METFC 2","53","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","57","MCTS HP METFC 2"
"Greedy Baseline 1","42","MCTS HP METFC 2","54","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","44","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","47","MCTS HP METFC 2"
"Greedy Baseline 1","47","MCTS HP METFC 2","52","MCTS HP METFC 2"
"Greedy Baseline 1","36","MCTS HP METFC 2","52","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","51","MCTS HP METFC 2"
"Greedy Baseline 1","43","MCTS HP METFC 2","55","MCTS HP METFC 2"
"Greedy Baseline 1","43","MCTS HP METFC 2","53","MCTS HP METFC 2"
"Greedy Baseline 1","42","MCTS HP METFC 2","48","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","44","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","49","MCTS HP METFC 2"
"Greedy Baseline 1","43","MCTS HP METFC 2","50","MCTS HP METFC 2"
"Greedy Baseline 1","33","MCTS HP METFC 2","54","MCTS HP METFC 2"
"Greedy Baseline 1","42","MCTS HP METFC 2","54","MCTS HP METFC 2"
"Greedy Baseline 1","45","MCTS HP METFC 2","51","MCTS HP METFC 2"
"Greedy Baseline 1","34","MCTS HP METFC 2","63","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","60","MCTS HP METFC 2"
"Greedy Baseline 1","40","MCTS HP METFC 2","51","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","49","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","58","MCTS HP METFC 2"
"Greedy Baseline 1","36","MCTS HP METFC 2","58","MCTS HP METFC 2"
"Greedy Baseline 1","42","MCTS HP METFC 2","48","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","57","MCTS HP METFC 2"
"Greedy Baseline 1","33","MCTS HP METFC 2","67","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","54","MCTS HP METFC 2"
"Greedy Baseline 1","41","MCTS HP METFC 2","52","MCTS HP METFC 2"
"Greedy Baseline 1","44","MCTS HP METFC 2","46","MCTS HP METFC 2"
"Greedy Baseline 1","45","MCTS HP METFC 2","50","MCTS HP METFC 2"
"Greedy Baseline 1","43","MCTS HP METFC 2","48","MCTS HP METFC 2"
"Greedy Baseline 1","41","MCTS HP METFC 2","46","MCTS HP METFC 2"
"Greedy Baseline 1","34","MCTS HP METFC 2","52","MCTS HP METFC 2"
"Greedy Baseline 1","36","MCTS HP METFC 2","54","MCTS HP METFC 2"
"Greedy Baseline 1","38","MCTS HP METFC 2","48","MCTS HP METFC 2"
"Greedy Baseline 1","32","MCTS HP METFC 2","64","MCTS HP METFC 2"
"Greedy Baseline 1","35","MCTS HP METFC 2","56","MCTS HP METFC 2"
"Greedy Baseline 1","31","MCTS HP METFC 2","63","MCTS HP METFC 2"
"Greedy Baseline 1","57","MCTS HP METFC 2","37","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP METFC 2","53","MCTS HP METFC 2"
"Greedy Baseline 1","42","MCTS HP METFC 2","51","MCTS HP METFC 2"
"Greedy Baseline 1","44","MCTS HP METFC 2","49","MCTS HP METFC 2"
"Greedy Baseline 1","40","MCTS HP METFC 2","53","MCTS HP METFC 2"
"Greedy Baseline 1","52","MCTS HP METFC 2","36","Greedy Baseline 1"
"Greedy Baseline 1","43","MCTS HP METFC 2","52","MCTS HP METFC 2"
"Greedy Baseline 1","36","MCTS HP METFC 2","52","MCTS HP METFC 2"
"Greedy Baseline 1","55","MCTS HP METFC 2","40","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP METFC 2","54","MCTS HP METFC 2"
"Greedy Baseline 1","38","MCTS HP METFC 2","54","MCTS HP METFC 2"
"Greedy Baseline 1","42","MCTS HP METFC 2","57","MCTS HP METFC 2"
"Greedy Baseline 1","41","MCTS HP METFC 2","56","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","51","MCTS HP METFC 2"
"Greedy Baseline 1","47","MCTS HP METFC 2","38","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP METFC 2","51","MCTS HP METFC 2"
"Greedy Baseline 1","39","MCTS HP METFC 2","48","MCTS HP METFC 2"
"Greedy Baseline 1","37","MCTS HP METFC 2","49","MCTS HP METFC 2"
"Greedy Baseline 1","40","MCTS HP METFC 2","55","MCTS HP METFC 2"
"Greedy Baseline 1","38","MCTS HP METFC 2","42","MCTS HP METFC 2"
"Greedy Baseline 1","38","MCTS HP METFC 2","61","MCTS HP METFC 2"
"Greedy Baseline 1","33","MCTS HP METFC 2","42","MCTS HP METFC 2"
