"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS LP Baseline 1","53","Greedy Baseline 2","40","MCTS LP Baseline 1"
"MCTS LP Baseline 1","52","Greedy Baseline 2","38","MCTS LP Baseline 1"
"MCTS LP Baseline 1","52","Greedy Baseline 2","42","MCTS LP Baseline 1"
"MCTS LP Baseline 1","47","Greedy Baseline 2","45","MCTS LP Baseline 1"
"MCTS LP Baseline 1","51","Greedy Baseline 2","42","MCTS LP Baseline 1"
"MCTS LP Baseline 1","56","Greedy Baseline 2","43","MCTS LP Baseline 1"
"MCTS LP Baseline 1","53","Greedy Baseline 2","38","MCTS LP Baseline 1"
"MCTS LP Baseline 1","51","Greedy Baseline 2","36","MCTS LP Baseline 1"
"MCTS LP Baseline 1","53","Greedy Baseline 2","38","MCTS LP Baseline 1"
"MCTS LP Baseline 1","54","Greedy Baseline 2","37","MCTS LP Baseline 1"
"MCTS LP Baseline 1","59","Greedy Baseline 2","38","MCTS LP Baseline 1"
"MCTS LP Baseline 1","58","Greedy Baseline 2","39","MCTS LP Baseline 1"
"MCTS LP Baseline 1","44","Greedy Baseline 2","39","MCTS LP Baseline 1"
"MCTS LP Baseline 1","61","Greedy Baseline 2","36","MCTS LP Baseline 1"
"MCTS LP Baseline 1","45","Greedy Baseline 2","37","MCTS LP Baseline 1"
"MCTS LP Baseline 1","52","Greedy Baseline 2","36","MCTS LP Baseline 1"
"MCTS LP Baseline 1","50","Greedy Baseline 2","40","MCTS LP Baseline 1"
"MCTS LP Baseline 1","52","Greedy Baseline 2","35","MCTS LP Baseline 1"
"MCTS LP Baseline 1","57","Greedy Baseline 2","39","MCTS LP Baseline 1"
"MCTS LP Baseline 1","46","Greedy Baseline 2","41","MCTS LP Baseline 1"
"MCTS LP Baseline 1","48","Greedy Baseline 2","47","MCTS LP Baseline 1"
"MCTS LP Baseline 1","44","Greedy Baseline 2","34","MCTS LP Baseline 1"
"MCTS LP Baseline 1","52","Greedy Baseline 2","48","MCTS LP Baseline 1"
