"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS LP (C = 1.4142135623730951)","60","Greedy","35","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","53","Greedy","39","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","49","Greedy","43","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","44","Greedy","40","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","54","Greedy","36","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","58","Greedy","35","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","57","Greedy","41","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","54","Greedy","38","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","51","Greedy","28","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","45","Greedy","43","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","52","Greedy","43","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","63","Greedy","29","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","38","Greedy","22","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","43","Greedy","40","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","51","Greedy","42","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","59","Greedy","37","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","55","Greedy","41","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","69","Greedy","31","MCTS LP (C = 1.4142135623730951)"
"MCTS LP (C = 1.4142135623730951)","47","Greedy","38","MCTS LP (C = 1.4142135623730951)"
