"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS LP","54","Greedy","41","MCTS LP"
"MCTS LP","54","Greedy","43","MCTS LP"
"MCTS LP","48","Greedy","43","MCTS LP"
"MCTS LP","55","Greedy","33","MCTS LP"
"MCTS LP","48","Greedy","42","MCTS LP"
"MCTS LP","44","Greedy","37","MCTS LP"
"MCTS LP","57","Greedy","35","MCTS LP"
"MCTS LP","42","Greedy","54","Greedy"
"MCTS LP","50","Greedy","43","MCTS LP"
"MCTS LP","57","Greedy","40","MCTS LP"
"MCTS LP","50","Greedy","42","MCTS LP"
"MCTS LP","47","Greedy","41","MCTS LP"
"MCTS LP","37","Greedy","51","Greedy"
"MCTS LP","51","Greedy","41","MCTS LP"
"MCTS LP","46","Greedy","40","MCTS LP"
"MCTS LP","59","Greedy","35","MCTS LP"
"MCTS LP","52","Greedy","44","MCTS LP"
"MCTS LP","45","Greedy","42","MCTS LP"
"MCTS LP","56","Greedy","39","MCTS LP"
"MCTS LP","48","Greedy","34","MCTS LP"
"MCTS LP","51","Greedy","41","MCTS LP"
"MCTS LP","47","Greedy","37","MCTS LP"
"MCTS LP","51","Greedy","41","MCTS LP"
"MCTS LP","53","Greedy","39","MCTS LP"
"MCTS LP","59","Greedy","40","MCTS LP"
"MCTS LP","48","Greedy","45","MCTS LP"
"MCTS LP","48","Greedy","43","MCTS LP"
"MCTS LP","52","Greedy","48","MCTS LP"
"MCTS LP","41","Greedy","35","MCTS LP"
"MCTS LP","51","Greedy","43","MCTS LP"
"MCTS LP","55","Greedy","41","MCTS LP"
"MCTS LP","53","Greedy","44","MCTS LP"
"MCTS LP","38","Greedy","51","Greedy"
"MCTS LP","52","Greedy","43","MCTS LP"
"MCTS LP","48","Greedy","40","MCTS LP"
"MCTS LP","54","Greedy","42","MCTS LP"
"MCTS LP","46","Greedy","38","MCTS LP"
"MCTS LP","49","Greedy","43","MCTS LP"
"MCTS LP","48","Greedy","42","MCTS LP"
"MCTS LP","46","Greedy","36","MCTS LP"
"MCTS LP","53","Greedy","42","MCTS LP"
"MCTS LP","47","Greedy","41","MCTS LP"
"MCTS LP","46","Greedy","39","MCTS LP"
"MCTS LP","47","Greedy","44","MCTS LP"
"MCTS LP","47","Greedy","40","MCTS LP"
"MCTS LP","51","Greedy","46","MCTS LP"
"MCTS LP","49","Greedy","43","MCTS LP"
"MCTS LP","53","Greedy","44","MCTS LP"
"MCTS LP","43","Greedy","50","Greedy"
"MCTS LP","57","Greedy","26","MCTS LP"
"MCTS LP","50","Greedy","44","MCTS LP"
"MCTS LP","47","Greedy","39","MCTS LP"
"MCTS LP","50","Greedy","39","MCTS LP"
"MCTS LP","42","Greedy","40","MCTS LP"
"MCTS LP","50","Greedy","48","MCTS LP"
"MCTS LP","51","Greedy","40","MCTS LP"
"MCTS LP","50","Greedy","39","MCTS LP"
"MCTS LP","46","Greedy","42","MCTS LP"
"MCTS LP","56","Greedy","34","MCTS LP"
"MCTS LP","52","Greedy","39","MCTS LP"
"MCTS LP","53","Greedy","44","MCTS LP"
