"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS LP","38","Random","52","Random"
"MCTS LP","47","Random","49","Random"
"MCTS LP","28","Random","47","Random"
"MCTS LP","17","Random","62","Random"
"MCTS LP","48","Random","42","MCTS LP"
"MCTS LP","45","Random","44","MCTS LP"
"MCTS LP","29","Random","56","Random"
"MCTS LP","40","Random","43","Random"
"MCTS LP","29","Random","48","Random"
"MCTS LP","56","Random","42","MCTS LP"
"MCTS LP","26","Random","66","Random"
"MCTS LP","51","Random","36","MCTS LP"
"MCTS LP","18","Random","60","Random"
"MCTS LP","23","Random","61","Random"
"MCTS LP","49","Random","48","MCTS LP"
"MCTS LP","45","Random","40","MCTS LP"
"MCTS LP","44","Random","42","MCTS LP"
"MCTS LP","41","Random","44","Random"
"MCTS LP","47","Random","42","MCTS LP"
"MCTS LP","58","Random","39","MCTS LP"
"MCTS LP","56","Random","42","MCTS LP"
"MCTS LP","25","Random","58","Random"
"MCTS LP","28","Random","60","Random"
"MCTS LP","50","Random","45","MCTS LP"
"MCTS LP","40","Random","52","Random"
"MCTS LP","44","Random","48","Random"
"MCTS LP","36","Random","54","Random"
"MCTS LP","49","Random","43","MCTS LP"
"MCTS LP","34","Random","45","Random"
"MCTS LP","26","Random","61","Random"
"MCTS LP","51","Random","43","MCTS LP"
"MCTS LP","39","Random","46","Random"
"MCTS LP","37","Random","38","Random"
"MCTS LP","41","Random","43","Random"
"MCTS LP","51","Random","43","MCTS LP"
"MCTS LP","27","Random","42","Random"
"MCTS LP","45","Random","48","Random"
"MCTS LP","30","Random","46","Random"
"MCTS LP","26","Random","59","Random"
"MCTS LP","30","Random","40","Random"
"MCTS LP","73","Random","23","MCTS LP"
"MCTS LP","16","Random","49","Random"
"MCTS LP","23","Random","59","Random"
"MCTS LP","31","Random","42","Random"
"MCTS LP","39","Random","43","Random"
"MCTS LP","29","Random","57","Random"
"MCTS LP","38","Random","47","Random"
"MCTS LP","33","Random","52","Random"
"MCTS LP","28","Random","59","Random"
"MCTS LP","37","Random","47","Random"
"MCTS LP","18","Random","74","Random"
"MCTS LP","44","Random","42","MCTS LP"
"MCTS LP","21","Random","58","Random"
"MCTS LP","44","Random","51","Random"
"MCTS LP","30","Random","63","Random"
"MCTS LP","30","Random","53","Random"
"MCTS LP","47","Random","51","Random"
"MCTS LP","21","Random","64","Random"
"MCTS LP","59","Random","40","MCTS LP"
"MCTS LP","31","Random","51","Random"
"MCTS LP","34","Random","62","Random"
"MCTS LP","48","Random","49","Random"
"MCTS LP","36","Random","39","Random"
"MCTS LP","33","Random","64","Random"
"MCTS LP","47","Random","47","Tie"
"MCTS LP","46","Random","44","MCTS LP"
"MCTS LP","43","Random","47","Random"
"MCTS LP","35","Random","48","Random"
"MCTS LP","50","Random","49","MCTS LP"
"MCTS LP","40","Random","43","Random"
"MCTS LP","39","Random","50","Random"
"MCTS LP","23","Random","53","Random"
"MCTS LP","19","Random","57","Random"
"MCTS LP","41","Random","49","Random"
"MCTS LP","42","Random","52","Random"
"MCTS LP","12","Random","66","Random"
"MCTS LP","35","Random","56","Random"
"MCTS LP","23","Random","65","Random"
"MCTS LP","25","Random","43","Random"
"MCTS LP","49","Random","40","MCTS LP"
"MCTS LP","20","Random","60","Random"
"MCTS LP","20","Random","65","Random"
"MCTS LP","53","Random","42","MCTS LP"
"MCTS LP","23","Random","58","Random"
